x	y
0	0
0.01	0.0099
0.02	0.0196
0.03	0.0291
0.04	0.0384
0.05	0.0475
0.06	0.0564
0.07	0.0651
0.08	0.0736
0.09	0.0819
0.1	0.09
0.11	0.0979
0.12	0.1056
0.13	0.1131
0.14	0.1204
0.15	0.1275
0.16	0.1344
0.17	0.1411
0.18	0.1476
0.19	0.1539
0.2	0.16
0.21	0.1659
0.22	0.1716
0.23	0.1771
0.24	0.1824
0.25	0.1875
0.26	0.1924
0.27	0.1971
0.28	0.2016
0.29	0.2059
0.3	0.21
0.31	0.2139
0.32	0.2176
0.33	0.2211
0.34	0.2244
0.35	0.2275
0.36	0.2304
0.37	0.2331
0.38	0.2356
0.39	0.2379
0.4	0.24
0.41	0.2419
0.42	0.2436
0.43	0.2451
0.44	0.2464
0.45	0.2475
0.46	0.2484
0.47	0.2491
0.48	0.2496
0.49	0.2499
0.5	0.25
0.51	0.2499
0.52	0.2496
0.53	0.2491
0.54	0.2484
0.55	0.2475
0.56	0.2464
0.57	0.2451
0.58	0.2436
0.59	0.2419
0.6	0.24
0.61	0.2379
0.62	0.2356
0.63	0.2331
0.64	0.2304
0.65	0.2275
0.66	0.2244
0.67	0.2211
0.68	0.2176
0.69	0.2139
0.7	0.21
0.71	0.2059
0.72	0.2016
0.73	0.1971
0.74	0.1924
0.75	0.1875
0.76	0.1824
0.77	0.1771
0.78	0.1716
0.79	0.1659
0.8	0.16
0.81	0.1539
0.82	0.1476
0.83	0.1411
0.84	0.1344
0.85	0.1275
0.86	0.1204
0.87	0.1131
0.88	0.1056
0.89	0.0979
0.9	0.09
0.91	0.0819
0.92	0.0736
0.93	0.0650999999999999
0.94	0.0563999999999999
0.95	0.0475
0.96	0.0384
0.97	0.0291
0.98	0.0196000000000001
0.99	0.00990000000000002
1	0
